,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
7030,de Bordeaux / Marie-Anne,45.53340913,-73.57065707,,,,,,,,,,,,,,,,1604.0,,1571.5,,,,1407.0,,
6141,de Bordeaux / Rachel,45.532270000000004,-73.56828,,,,,,,,,,,,,,,,,,1479.2857142857142,1674.5,1908.0,2107.0,1843.0,,
6100,Mackay / de Maisonneuve,45.496590000000005,-73.57851,979.8333333333334,,1103.0,,75.0,,,,1089.5,359.8,207.5,1024.6666666666667,630.3333333333334,1153.4444444444443,508.625,464.625,135.33333333333334,786.7857142857143,646.0833333333334,724.8,761.2222222222222,293.25,758.375,1104.857142857143
6064,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,598.6666666666666,,,543.0,,,192.0,206.8,191.43478260869566,245.3,181.25,214.14285714285714,207.26315789473685,197.25,249.6315789473684,177.0,190.2,197.17857142857142,398.5238095238095,284.5,185.9090909090909,193.0,170.0,160.0
6730,35e avenue / Beaubien,45.570081,-73.573047,,,,,,,,,,,,,,,,,,,,,,,,
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,,,,,,,,,,,,,,,,,2100.0,,2365.0,,,,,
6108,Logan / Fullum,45.52844869,-73.551085,,,,,,,,,,1429.0,,,1176.6666666666667,,,,,1180.5,1394.0,,,,,
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,,,,,,,,,,,1379.0,,,1807.6666666666667,1119.0,,1697.4,1242.5,1218.3333333333333,1107.0,1348.1666666666667,1092.0,855.0,984.0
6223,du Mont-Royal / du Parc,45.516999999999996,-73.589,,,,,,,,,,,,,1013.0,839.0,1004.0,,936.0,1096.0,938.0,1154.0,988.0,988.0,,
6233,Bernard / Jeanne-Mance,45.52428648,-73.60497326,,,,,,,,,,,1531.5,,1098.0,1789.0,,,2111.0,1470.0,1277.0,1459.0,,1564.0,1837.5,
6043,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,,,,,,493.0,483.875,509.3333333333333,660.0,579.1666666666666,617.75,,550.0,548.0,565.0,,709.0,666.5,558.5,,421.0,501.0,,
6041,St-Jacques / Gauvin,45.500674,-73.561082,492.0,585.0,,,,,,644.0,602.0,599.0,798.0,,831.0,636.75,542.0,635.0,673.5,709.0,829.25,699.0,611.5,,468.0,
6397,Marché Maisonneuve,45.55321884,-73.53978217,,,,1794.0,,,,,,,,,,,,,2011.3333333333333,2199.0,,,,,,
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.51167258,-73.56204182,429.0,,,,,,,,822.6,525.0,,,846.25,633.0,,749.0,,743.0,806.0,650.6666666666666,684.0,774.6666666666666,,
6073,de Maisonneuve / Aylmer,45.50501,-73.57069,,,,,,,,383.75,393.76666666666665,446.5,411.27272727272725,460.0,425.27272727272725,484.0,409.6875,381.3333333333333,617.8333333333334,701.9411764705883,392.875,490.0,443.1,381.0,552.75,354.2
6027,de Maisonneuve / Mansfield (ouest),45.50205386,-73.57346535,,,,,,,,274.75,273.8,272.94117647058823,267.625,264.5,294.4,285.52941176470586,277.27272727272725,273.6,364.6470588235294,278.2857142857143,297.9166666666667,281.1666666666667,275.0,178.0,304.6666666666667,
6107,St-Mathieu /Ste-Catherine,45.493718,-73.57918599999999,121.0,118.0,,,,,,,246.0,235.25,,201.2941176470588,148.0,171.2,277.5,199.55555555555554,396.77777777777777,163.0,166.8,231.5,845.6,255.0,184.6,
6137,Gauthier / Papineau,45.529692600000004,-73.56740087,,,,,,,,,,,,,,,,,,1445.25,1461.6666666666667,,1502.0,1529.0,,
6138,Gauthier / de Lorimier,45.53167355,-73.56541336,,,,,,,,,,,,,,,,,,1697.5,1505.5,,1207.0,,,
6095,Chomedey / de Maisonneuve,45.49180028,-73.58400643,238.0,246.6,,,215.0,327.0,,257.0,332.0,295.0,269.0,248.0,532.8421052631579,333.0,358.4,288.9,356.63157894736844,322.18518518518516,295.4230769230769,253.55555555555554,282.36842105263156,281.17391304347825,598.6666666666666,261.57142857142856
6005,de la Cathédrale / René-Lévesque,45.49923715,-73.56944203,,,,,,,280.0,,398.5833333333333,398.57142857142856,289.5,625.0,352.5,300.0,404.6666666666667,405.0,320.3333333333333,321.0,389.6666666666667,269.0,,418.0,559.0,
6072,Metcalfe / de Maisonneuve,45.50171495,-73.57413054,435.0,,,,,,,203.0,261.0810810810811,290.94736842105266,276.90909090909093,269.57142857142856,308.5,267.6363636363636,306.44444444444446,257.25,294.7142857142857,344.22222222222223,228.25,253.33333333333334,237.42857142857142,227.0,239.0,
6012,Métro St-Laurent (de Maisonneuve / St-Laurent),45.510659999999994,-73.56497,,,,,,,,636.0,710.0,,736.0,920.0,1035.25,679.6,795.0,649.625,790.5,730.5,683.6666666666666,769.5714285714286,687.2857142857143,,443.0,559.0
6710,Georges-Baril / Fleury,45.55837563,-73.65884408,,,,,,,,,,,,,,,,,,,,,,,,
7005,Marquette / Fleury,45.56735206,-73.65378745,,,,,,,,,,,,,,,,,,,,,,,,
6191,St-Zotique / Clark,45.531401,-73.612674,,,,,,,,,,,,,,,,,,,1710.0,,,1965.0,,
6262,de la Roche /  de Bellechasse,45.53715923,-73.59747648,,,,,,,,,,,,,,,,,,1893.0,,,1728.0,,,
