,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
7030,de Bordeaux / Marie-Anne,45.53340913,-73.57065707,,,,,,,,,,,,,,,,,1285.0,,,,,,,
6141,de Bordeaux / Rachel,45.532270000000004,-73.56828,,,,,,,,,,,,,,,,,,1172.0,1340.0,,,,1457.0,
6100,Mackay / de Maisonneuve,45.496590000000005,-73.57851,210.75,205.0,,,222.0,,,227.5,195.85,193.125,203.5,242.44444444444446,305.17857142857144,254.51724137931035,212.9375,345.0,212.2,217.26984126984127,209.21818181818182,203.92857142857142,206.23529411764707,251.41666666666666,247.25,173.66666666666666
6064,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,158.0,134.0,101.0,,,,,,545.0,,1554.5,,1628.4285714285713,524.25,145.0,807.0,87.0,1620.75,126.5,104.5,446.6666666666667,99.0,117.0,
6730,35e avenue / Beaubien,45.570081,-73.573047,,,,,,,,,,,,,,,,,,,,,,,,
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,,,,,,,,,,,,,,3015.0,,,,,,,,,,
6108,Logan / Fullum,45.52844869,-73.551085,,,,914.0,,,,,,,,,,1013.0,,,,,,1447.0,1124.0,,,
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,,,,,,,,,,,,,1193.0,942.0,,955.0,1070.875,1168.5,1029.0,963.0,950.0,,,
6223,du Mont-Royal / du Parc,45.516999999999996,-73.589,,,,,,,,,,,745.0,957.0,,995.0,,1781.3333333333333,658.5,709.0,1198.0,,,1585.0,,
6233,Bernard / Jeanne-Mance,45.52428648,-73.60497326,,,,,,,,,,,,,,,,,1154.0,1265.4705882352941,1439.0,1205.0,,,,
6043,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,,,,,,,431.0,,451.44444444444446,408.0,367.6666666666667,558.0,466.57142857142856,404.3125,470.5,383.75,410.3333333333333,413.0,,492.0,,,,
6041,St-Jacques / Gauvin,45.500674,-73.561082,,,,,,,,,457.6666666666667,589.0,550.0,376.0,459.25,458.6666666666667,623.0,,534.0,452.6666666666667,535.0,432.5,,,442.0,
6397,Marché Maisonneuve,45.55321884,-73.53978217,,1382.0,,,,,,,,,,,,,,,,,,,,,,
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.51167258,-73.56204182,,,,,,,,,629.5,,,538.0,1301.0,907.0,,,489.0,553.4,599.0833333333334,645.5555555555555,578.6666666666666,580.0,697.6666666666666,724.0
6073,de Maisonneuve / Aylmer,45.50501,-73.57069,275.5,,,,,,,,255.0,221.5,,281.6,237.7,224.25,285.45454545454544,244.57142857142858,216.0,266.75,256.75,239.55555555555554,,208.0,215.0,217.0
6027,de Maisonneuve / Mansfield (ouest),45.50205386,-73.57346535,,,,,,65.0,,,98.0,103.0,75.0,,,84.0,,141.0,190.5,,,,105.0,,,129.0
6107,St-Mathieu /Ste-Catherine,45.493718,-73.57918599999999,,,,,,,,281.0,308.0,362.25,429.0,401.22222222222223,349.22222222222223,532.1428571428571,315.0,403.5,316.4,329.9166666666667,375.5625,345.5,409.8,335.25,302.5,291.5
6137,Gauthier / Papineau,45.529692600000004,-73.56740087,,,,,,,,,,,,,,,,,,,1227.0,,1321.0,1181.0,1174.0,
6138,Gauthier / de Lorimier,45.53167355,-73.56541336,,,,,,,,,,,,,,,,,1286.5,1339.0,1468.0,,,1151.0,,
6095,Chomedey / de Maisonneuve,45.49180028,-73.58400643,343.0,,,,,,,,404.0,1057.3333333333333,349.8,751.625,398.2857142857143,399.0769230769231,408.6666666666667,650.8333333333334,372.57142857142856,454.77272727272725,444.58620689655174,447.11764705882354,441.2857142857143,452.1111111111111,426.4,397.0
6005,de la Cathédrale / René-Lévesque,45.49923715,-73.56944203,,,,,,,,,,,,,218.0,243.0,259.6666666666667,,133.0,236.83333333333334,222.0,,,,,
