,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
7030,de Bordeaux / Marie-Anne,45.53340913,-73.57065707,,,,,,,,,,,,,,,,,1369.0,1531.0,,,,,,
6141,de Bordeaux / Rachel,45.532270000000004,-73.56828,1800.0,,,,,,,,,,,,,,,,,1423.2,1805.0,1823.5,,,,
6100,Mackay / de Maisonneuve,45.496590000000005,-73.57851,1147.0,,1119.0,,3424.0,90.0,77.0,1830.0,,1483.5,182.25,333.75,667.75,1259.6666666666667,2090.714285714286,512.0,1245.0,359.8,699.7272727272727,876.8,304.1666666666667,998.3076923076923,931.6666666666666,857.0
6064,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,311.0,,,836.0,,202.0,192.3846153846154,165.44444444444446,192.52173913043478,234.1818181818182,275.70588235294116,223.9,270.4583333333333,203.8421052631579,218.53846153846155,208.0909090909091,210.77777777777777,220.75862068965517,230.72222222222223,233.33333333333334,193.4,206.33333333333334,265.25,202.66666666666666
6730,35e avenue / Beaubien,45.570081,-73.573047,,,,,,,,,,,,,,,,,,,,,,,,
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,,,,,,,,,,,,,,,,,2347.0,2079.0,,2523.0,,,,
6108,Logan / Fullum,45.52844869,-73.551085,,,,,,,,,,,,1389.0,1191.5,,,1387.0,1048.0,1263.5,,1399.0,1162.0,1282.5,,
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,854.0,,,,,,,,,,,,,,1162.5,,1396.125,1178.5714285714287,1323.3333333333333,1241.3333333333333,1225.5,,1170.0,1008.0
6223,du Mont-Royal / du Parc,45.516999999999996,-73.589,,,,,,,,,,,,,,,,1078.0,1145.25,1256.5,,1143.0,1808.0,1266.0,1379.0,
6233,Bernard / Jeanne-Mance,45.52428648,-73.60497326,,,,,,,,,,,,,1508.0,1307.0,1154.0,1290.0,1444.5,1585.142857142857,1282.5,1285.0,1230.0,,1818.0,2234.0
6043,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,,,,,,483.75,489.77777777777777,550.8,634.6521739130435,642.8181818181819,714.0,600.0,569.0,,524.0,623.0,519.0,648.0,613.0,,,,,596.0
6041,St-Jacques / Gauvin,45.500674,-73.561082,,546.5,,430.0,,407.0,,728.3333333333334,712.8,684.0,575.0,,890.0,775.0,520.0,530.0,,759.6666666666666,1217.3333333333333,540.5,,580.5,,738.0
6397,Marché Maisonneuve,45.55321884,-73.53978217,,,,,,,,,,,,,,,,,2134.5,,,,,,,
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.51167258,-73.56204182,,,,,,,,,854.6666666666666,,,754.0,,,,,862.0,714.75,,698.5,556.0,540.5,811.0,
6073,de Maisonneuve / Aylmer,45.50501,-73.57069,,281.0,279.0,,,,,368.6666666666667,385.2,406.3333333333333,573.3333333333334,469.1666666666667,399.5,431.25,403.72727272727275,396.27272727272725,475.5263157894737,485.8695652173913,523.6,495.3,461.75,397.5,438.57142857142856,
6027,de Maisonneuve / Mansfield (ouest),45.50205386,-73.57346535,,,,,,,,,268.0,277.8,292.57142857142856,271.1764705882353,284.5,288.1666666666667,909.0,283.2,295.06666666666666,275.741935483871,297.44444444444446,296.0,278.0,,,
6107,St-Mathieu /Ste-Catherine,45.493718,-73.57918599999999,637.75,121.5,142.0,,,,,432.0,,287.0,,151.78571428571428,340.6666666666667,223.0,197.5,274.25,171.25,172.57142857142858,264.5,217.75,568.5,190.8,,148.5
6137,Gauthier / Papineau,45.529692600000004,-73.56740087,,,,,,,,,,,,,,,,1931.0,1424.5,1585.4,1317.0,1969.0,1227.0,,,
