,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
7030,de Bordeaux / Marie-Anne,45.53340913,-73.57065707,,,,,,,,,,,,,,,,,,,,,,,1457.0,
6141,de Bordeaux / Rachel,45.532270000000004,-73.56828,,,,,,,,,,,,,,,,1438.0,1742.0,1669.0,,,1315.0,,,
6100,Mackay / de Maisonneuve,45.496590000000005,-73.57851,209.0,259.0,,,,170.0,,149.5,194.25,195.5,292.3333333333333,217.0625,266.90909090909093,240.67857142857142,214.83333333333334,240.54545454545453,247.47368421052633,230.32692307692307,207.08333333333334,259.05555555555554,272.2,215.25,270.8181818181818,337.90909090909093
6064,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,2785.0,,,,,,810.0,,430.0,148.0,2074.5,,1350.6,2610.0,2334.5,744.25,1736.5,206.1818181818182,667.25,2145.1666666666665,248.6,511.3333333333333,1064.5,92.5
6730,35e avenue / Beaubien,45.570081,-73.573047,,,,,,,,,,,,,,,,,,,,,,,,
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,,,,,,,,,,,,,,2017.0,,,2121.0,,,,1702.0,2501.0,,
6108,Logan / Fullum,45.52844869,-73.551085,,,,,,,,,,,,,,,,,,,,,,,,
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,761.0,,,,,,,1167.0,,,,1151.0,1068.5,917.3333333333334,986.6666666666666,1054.0,1143.4,1111.8333333333333,953.0,1087.0,1464.0,,1388.0,852.0
6223,du Mont-Royal / du Parc,45.516999999999996,-73.589,841.0,,,,,,,,692.0,,763.6666666666666,862.0,,985.0,,693.0,1072.0,1053.6666666666667,769.5,970.0,,,1246.5,
6233,Bernard / Jeanne-Mance,45.52428648,-73.60497326,,,,,,,,,,,,,,1390.0,,,1277.4,1405.2,,1483.5,,,,
6043,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,,,,,,,,,434.8,459.2857142857143,470.0,492.5,784.0,630.8571428571429,,430.0,340.0,427.57142857142856,,,293.0,,,
6041,St-Jacques / Gauvin,45.500674,-73.561082,,,725.0,,,,,,435.6666666666667,453.5,813.0,489.0,667.5,543.5,625.5,464.0,326.0,454.0,,,,,,
6397,Marché Maisonneuve,45.55321884,-73.53978217,,,,,,,,,,,,,,,,2592.0,,,,,,,,
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.51167258,-73.56204182,479.0,364.0,562.0,,,,,476.0,,,,555.0,497.0,475.0,560.0,,811.0,561.0,571.6153846153846,585.5,538.5,,751.4285714285714,719.0
6073,de Maisonneuve / Aylmer,45.50501,-73.57069,,,,,,,,,248.14285714285714,284.25,474.3333333333333,222.66666666666666,263.22222222222223,282.5,297.14285714285717,472.0,246.66666666666666,271.6296296296296,1058.857142857143,230.28571428571428,475.0,,181.5,
