,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
7030,de Bordeaux / Marie-Anne,45.53340913,-73.57065707,,,413.0,,,,,,,114.0,2708.3333333333335,,566.3333333333334,,640.0,,567.2,1320.0,1025.0,,1216.3333333333333,1273.3333333333333,606.0,225.0
6141,de Bordeaux / Rachel,45.532270000000004,-73.56828,,131.0,135.5,,,,,,71.0,,,,402.75,97.0,113.0,,105.0,250.0,,208.0,,203.0,,123.0
6100,Mackay / de Maisonneuve,45.496590000000005,-73.57851,,,,,,,,,,,,,,,,,,,,,,,,
6064,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,,,,,,,827.0,813.0,,,,,,,,,,,,,,,,
6730,35e avenue / Beaubien,45.570081,-73.573047,,,,,,,,,,,,,,,,,,,,,,,,
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,,,,,,,,,,,,,,,1285.0,,,,,,,,,
6108,Logan / Fullum,45.52844869,-73.551085,,,,,,,,,,,,,,,,,,,,,,,,
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,,,,,,,451.0,546.0,,,,618.0,,623.0,1037.0,627.6666666666666,656.5,581.0,,,806.5,,,
6223,du Mont-Royal / du Parc,45.516999999999996,-73.589,,,,,,,,,,,,,962.0,,,,,,,,,,795.0,
6233,Bernard / Jeanne-Mance,45.52428648,-73.60497326,,,,,,,,,,,,,,,,,,,,,,,,
6043,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,,,,,,,,,,1283.6666666666667,,,,,,,,1186.0,,,,,,
6041,St-Jacques / Gauvin,45.500674,-73.561082,,,,,,,,,,,,,,,,,1603.0,,,,,,,
6397,Marché Maisonneuve,45.55321884,-73.53978217,,,,,,,,,,,,,,,,,,,,,,,,
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.51167258,-73.56204182,,,,,,,,,,,,,,,,,,,,,,,,
6073,de Maisonneuve / Aylmer,45.50501,-73.57069,,,,,,,,,,,,,,,1189.0,,,,,,,,,
6027,de Maisonneuve / Mansfield (ouest),45.50205386,-73.57346535,,,,,,,,,,,,,,,,,,,,,,,,
6107,St-Mathieu /Ste-Catherine,45.493718,-73.57918599999999,,,,,,,,,,,,,,,,,,,,,,,,
6137,Gauthier / Papineau,45.529692600000004,-73.56740087,,,,,,,,,,177.0,199.0,208.33333333333334,,206.0,,551.0,330.0,243.0,,748.0,,,550.0,
6138,Gauthier / de Lorimier,45.53167355,-73.56541336,,,,,,,,776.0,,,248.25,181.5,186.75,378.5,176.75,149.0,228.5,189.5,,,,112.66666666666667,,
6095,Chomedey / de Maisonneuve,45.49180028,-73.58400643,,,,,,,,,,,,,,,,,,,,,,,,
6005,de la Cathédrale / René-Lévesque,45.49923715,-73.56944203,,,,,,,,1250.0,,,,,,,,,,,,,,,,
6072,Metcalfe / de Maisonneuve,45.50171495,-73.57413054,,,,,,,,,,,,,,,,,,,,,,,,
6012,Métro St-Laurent (de Maisonneuve / St-Laurent),45.510659999999994,-73.56497,,,,,,,,,,,,,950.0,965.0,,,827.0,1018.6666666666666,,,916.5,1011.1666666666666,,
6710,Georges-Baril / Fleury,45.55837563,-73.65884408,,,,,,,,,,,,,,,,,,,,,,,,
7005,Marquette / Fleury,45.56735206,-73.65378745,,,,,,,,,,,,,,,,,,,,,,,,
6191,St-Zotique / Clark,45.531401,-73.612674,,,,,,,,,1224.0,,1188.0,,,,1264.0,,,,,,1203.0,,,
6262,de la Roche /  de Bellechasse,45.53715923,-73.59747648,,,,,,,,,,,,,,,,,,,,,,,,
6061,McGill College / Ste-Catherine,45.50192926,-73.57145101,,,,,,,,,,,,,,,,,,,,,,,,
4000,Jeanne-d'Arc / Ontario,45.54945734,-73.54164898,,,,,,,,,,,,,,,,,,,,,,,,
6700,de la Salle / Ste-Catherine,45.54996329,-73.53443384,,,,,,,,,,,,,,,,,,,,,,,,
7083,Parc de Bullion (de Bullion / Prince-Arthur),45.51560426,-73.57213497,,,,,,,,,,,,,,,,,,,,,,,,793.0
7043,Ernest-Gendreau / du Mont-Royal,45.54971373,-73.56384829,,,,,,,,,845.0,,,,,,,,,,,,,,,
6361,Molson / Beaubien,45.5496859,-73.59115452,,,,,,,,,,,,,,,,,,911.0,,,,,,
6278,Louis-Hébert / St-Zotique,45.55001,-73.59576,,,,,,,,,,,,,,,,,,,,,,,,
6248,St-Dominique / Rachel,45.518593,-73.58156600000001,,,,,,,,,,,,,589.0,719.5,,,,,,782.0,,,683.0,
6184,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,,,,344.0,,,,,430.0,688.0,667.6666666666666,750.3333333333334,491.75,391.3333333333333,614.6666666666666,491.3333333333333,465.0,715.0,433.6666666666667,463.0,566.0,456.0,374.0,
7019,Casgrain / St-Viateur,45.52751293,-73.59879076,,,,,,,,,,,,1178.0,1166.0,,,,,,,,,,,
7026,Maguire / Henri-Julien,45.527041100000005,-73.59347057,,,,,,,,,,,,,,,961.0,,,,,,,,,
6218,Prince-Arthur / St-Urbain,45.5125874,-73.57373893,,,,,,,,,,,,,,,,,,,,757.0,,,,
6015,BAnQ (Berri / de Maisonneuve),45.515299,-73.561273,,,,,,,696.5,1050.0,,677.0,920.0,742.5,931.3333333333334,576.0,1199.5,917.0,762.0,918.0,982.0,,917.0,,,
6152,Chabot / du Mont-Royal,45.53418509,-73.57358873,,,,,,,,,,,82.0,606.0,143.0,198.0,134.0,114.5,,,,,,1626.0,,
6197,de Bordeaux / Masson,45.5389844,-73.58244538,,,,,,,,,,,,,,,,,376.0,,293.0,345.0,371.0,,,
6335,du Rosaire / St-Hubert,45.54467,-73.621581,,,,,,,,,,,,,,,,,,,,,,1964.0,,
6261,Louis Hémon / Rosemont,45.54459856,-73.58822286,877.0,,,,,,,,,,,662.0,,,,,,,,,,,,
6254,Boyer / Bélanger,45.54006,-73.60897,,,,,,,,,,,,,,,1516.0,,,,,,,,,
6280,Fairmount / St-Dominique,45.52450499,-73.5941425,,,,,,,,,,,,,,,,,,,912.5,,,,1054.0,
6227,de l'Esplanade / Laurier,45.52111622,-73.59478354,1375.0,1632.0,,,,,,,,,,,902.0,,,,,,,1239.0,,,,
6060,Stanley / du Docteur-Penfield,45.50252519,-73.58033717,,,,,,,,,,,,,,,,,,,,,,,,
6159,Ann / William,45.49589439,-73.56009722,,,,,,,,,,,,,,,,,,,,,,,,
6748,Young / Wellington,45.49282531,-73.55797827,,1424.0,,,,,,,,,,,,,,,,,,,,,,
6129,de Bordeaux / Sherbrooke,45.52997069,-73.56305301,,,247.0,,,,,,143.0,,338.0,288.125,265.0,203.0,257.0,199.75,288.0,239.5,248.0,,220.0,,,
6106,Papineau / René-Lévesque,45.52114,-73.54926,,,1802.0,,,,,,,,,,,,,,,,,,,,,
6147,Calixa-Lavallée / Sherbrooke,45.52479,-73.56545,,,,,,,,,290.0,348.5,319.0,339.0,,,,,,,,,,306.0,,
