,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
7030,de Bordeaux / Marie-Anne,45.53340913,-73.57065707,,,,,,,,,,,,,,,,1883.0,,1510.5,,,,,,
6141,de Bordeaux / Rachel,45.532270000000004,-73.56828,,,,,,,,,,,,,,,,,,1358.25,1552.2,1339.5,,,,805.0
6100,Mackay / de Maisonneuve,45.496590000000005,-73.57851,,200.0,134.0,115.0,,,181.0,272.6666666666667,212.69230769230768,223.9090909090909,190.73333333333332,261.38461538461536,237.7058823529412,219.45,208.11764705882354,232.52941176470588,200.33333333333334,254.0,323.94444444444446,229.4,224.0,229.89473684210526,223.375,177.5
6064,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,,,,,,,172.5,,180.0,,,391.0,985.25,1125.6666666666667,179.0,175.0,494.1666666666667,377.0,895.6,140.0,143.8,79.25,843.6666666666666,
6730,35e avenue / Beaubien,45.570081,-73.573047,,,,,,,,,,,,,,,,,,,,,,,,
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,,,,,,,,,,,,,,,,2253.0,2222.0,2531.0,,,,,,
6108,Logan / Fullum,45.52844869,-73.551085,,,,,,,,,,,,,,,,,,1215.0,,,,,,1177.0
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,,,,,,,,,,1127.0,,,991.0,1436.5,1169.0,1114.5,1113.75,1064.25,1205.75,1161.2857142857142,1174.5,,801.0,
6223,du Mont-Royal / du Parc,45.516999999999996,-73.589,,,,,,,,,,,735.5,839.3333333333334,,957.0,,,607.0,835.0,901.5,,734.0,1274.0,,
6233,Bernard / Jeanne-Mance,45.52428648,-73.60497326,,,,,,,,,,,,,,1461.0,,,,1308.7894736842106,1210.0,,,,,
6043,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,,,,,,,,,470.6666666666667,542.25,429.0,560.0,462.0,392.22222222222223,366.5,420.0,560.5,385.42857142857144,384.0,425.0,,505.5,,
6041,St-Jacques / Gauvin,45.500674,-73.561082,,,,,,,,545.0,470.75,475.0,,,685.0,651.0,,,507.0,455.0,420.0,594.0,369.0,,,
6397,Marché Maisonneuve,45.55321884,-73.53978217,,,,,,,,,,,,,,,,,,,,,,,,
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.51167258,-73.56204182,,,,,,,,,,,,,550.3333333333334,740.0,632.0,482.0,1403.0,748.6666666666666,599.2631578947369,575.0,625.0,655.5,,399.0
6073,de Maisonneuve / Aylmer,45.50501,-73.57069,,312.0,,,,,,,256.625,345.85714285714283,242.8,203.0,274.4166666666667,271.8181818181818,262.5,250.84615384615384,235.3125,318.64285714285717,275.5,226.25,256.5,,,303.0
6027,de Maisonneuve / Mansfield (ouest),45.50205386,-73.57346535,,,,,,,,,,,,67.0,297.0,,204.0,178.0,121.66666666666667,103.5,201.0,170.75,139.0,583.0,79.5,
6107,St-Mathieu /Ste-Catherine,45.493718,-73.57918599999999,,,,,,,,,358.3333333333333,341.0,368.0,303.57142857142856,667.8571428571429,351.6923076923077,360.0,467.8333333333333,386.90909090909093,383.2758620689655,344.4,408.57142857142856,589.9166666666666,329.9,336.0,323.0
6137,Gauthier / Papineau,45.529692600000004,-73.56740087,,,,,,,,,,,,,,1699.0,,,985.0,1209.0,1546.3333333333333,,1073.0,,,
6138,Gauthier / de Lorimier,45.53167355,-73.56541336,,,,,,,,,,,,,,,,,1289.5,1151.5,,,,,,
6095,Chomedey / de Maisonneuve,45.49180028,-73.58400643,323.0,452.5,274.0,,,,,266.0,468.0,417.75,740.3333333333334,454.8,453.85714285714283,610.1,479.8,468.3,454.375,462.51724137931035,482.6333333333333,429.7142857142857,460.125,454.35714285714283,398.0,539.0
6005,de la Cathédrale / René-Lévesque,45.49923715,-73.56944203,,,,,,,,203.0,,,,,,,192.0,478.0,778.3333333333334,661.1666666666666,,,533.6666666666666,,,
6072,Metcalfe / de Maisonneuve,45.50171495,-73.57413054,,,,,,,,1000.0,,,328.0,,,830.5,,,115.0,119.0,,,,,,
6012,Métro St-Laurent (de Maisonneuve / St-Laurent),45.510659999999994,-73.56497,,,,,,,,571.75,526.25,,628.0,456.14285714285717,447.0,480.0,648.0,553.3333333333334,503.625,547.4,557.6,498.0,637.2,811.8333333333334,529.0,453.0
6710,Georges-Baril / Fleury,45.55837563,-73.65884408,,,,,,,,,,,,,,,,,,,,,,,,
7005,Marquette / Fleury,45.56735206,-73.65378745,,,,,,,,,,,,,,,,,,,,,,,,
6191,St-Zotique / Clark,45.531401,-73.612674,,,,,,,,,,,,,,,,,1351.0,,,,,,,
6262,de la Roche /  de Bellechasse,45.53715923,-73.59747648,,,,,,,,,,,,,,,,,,1907.0,,,,,,
6061,McGill College / Ste-Catherine,45.50192926,-73.57145101,,,,,,,143.0,,137.0,,,203.5,169.0,442.0,,250.0,,193.25,248.0,390.0,127.0,,,
4000,Jeanne-d'Arc / Ontario,45.54945734,-73.54164898,,,,,,,,,,,,,,,,,,2003.3333333333333,,,1832.0,,,
6700,de la Salle / Ste-Catherine,45.54996329,-73.53443384,,,,,,,,,,,,,,,,,1774.0,1844.0,,2081.0,,,,
7083,Parc de Bullion (de Bullion / Prince-Arthur),45.51560426,-73.57213497,,,,,,,,,,,,,,,592.0,673.5,,1217.0,736.4,1434.0,876.4285714285714,679.3333333333334,,
7043,Ernest-Gendreau / du Mont-Royal,45.54971373,-73.56384829,,,,,,,,,,,,,,,,,,,,,,,,
6361,Molson / Beaubien,45.5496859,-73.59115452,,,,,,,,,,,,,,,,,,,,,,,,
6278,Louis-Hébert / St-Zotique,45.55001,-73.59576,,,,,,,,,,,,,,,,,,,,,,,,
6248,St-Dominique / Rachel,45.518593,-73.58156600000001,,,,,,,,775.5,,,762.0,,,,,,874.0,896.0,,,,720.4,,
6184,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,,,,,,,,,,,,,,,,1236.0,,,1393.0,1099.0,,1357.5,,
7019,Casgrain / St-Viateur,45.52751293,-73.59879076,,,,,,,,,1295.5,,,,,,,,,,,,,,,
7026,Maguire / Henri-Julien,45.527041100000005,-73.59347057,,,,,,,,,,,,,,,,1364.0,,1420.5,,,,,,
6218,Prince-Arthur / St-Urbain,45.5125874,-73.57373893,,,,,,,,,,,,607.0,871.0,,644.0,,596.5,789.75,468.0,588.5,749.0,697.0,,
6015,BAnQ (Berri / de Maisonneuve),45.515299,-73.561273,,,,,,451.0,,,879.5,709.0,749.0,819.1428571428571,681.0,683.0,686.0,721.0,733.5,839.0526315789474,774.25,667.0,763.8,704.0,545.0,
6152,Chabot / du Mont-Royal,45.53418509,-73.57358873,,,,,,,,,,,,,,,1823.0,2028.0,,1425.0,1362.3333333333333,,1070.0,,,
6197,de Bordeaux / Masson,45.5389844,-73.58244538,,,,,,,,,,,,,,,,,,2146.0,,,,,,
6335,du Rosaire / St-Hubert,45.54467,-73.621581,,,,,,,,,,,,,,,,,,,,,,,,
6261,Louis Hémon / Rosemont,45.54459856,-73.58822286,,,,,,,,,,,,,,,,,,2006.0,,,,,,1986.0
6254,Boyer / Bélanger,45.54006,-73.60897,,,,,,,,,,,,,,,,,,2774.0,,,,,,
6280,Fairmount / St-Dominique,45.52450499,-73.5941425,,,,,,,,,,,1200.0,,1300.0,,,,,1148.0,,1098.0,,,,
6227,de l'Esplanade / Laurier,45.52111622,-73.59478354,,,,,,,,,,,,,1101.0,,1540.3333333333333,,,1213.25,1203.5,1135.5,,1037.0,,847.0
6060,Stanley / du Docteur-Penfield,45.50252519,-73.58033717,2387.0,,,,,,,,,,,,,981.0,,,,,,,,,,
6159,Ann / William,45.49589439,-73.56009722,363.0,,,,,,,,562.0,605.25,472.5,553.0,446.0,,507.0,422.0,342.0,431.0,605.0,397.0,438.0,446.0,476.0,
6748,Young / Wellington,45.49282531,-73.55797827,,,,,,,,454.3125,416.25,398.0625,,633.6666666666666,400.5,426.5,,644.6666666666666,472.8333333333333,526.7142857142857,501.0,552.3333333333334,542.0714285714286,477.25,,467.0
6129,de Bordeaux / Sherbrooke,45.52997069,-73.56305301,,,,,,,,,,,,,,,1285.0,,,,,1502.0,964.0,,,
6106,Papineau / René-Lévesque,45.52114,-73.54926,,,,,,,,,,,1082.0,,,,,,,1092.0,1078.0,,1385.0,,,
6147,Calixa-Lavallée / Sherbrooke,45.52479,-73.56545,,,,,,,,,,,,,,,,794.0,,,,,,,,
6154,Marquette / du Mont-Royal,45.53229,-73.57544,,,,,,,,,,,,,,1605.5,,,1189.0,1145.0,1259.0,1296.0,1367.0,,,
6364,de Chambly / Rachel,45.54991069,-73.55826259,,,,,,,,,,,,,,,,,2226.75,,1622.0,2272.0,,,,
6163,Marquette / Laurier,45.53543,-73.5822,,,,,,,,,,,,,,,,,,1612.0,,1381.0,,,,
6272,de Bordeaux / St-Zotique,45.54653901,-73.5986647,,,,,,,,,,,,,,,,,2391.0,,,,1866.0,,,
6267,Chabot / Beaubien,45.54437555,-73.59564453,,,,,,,,,,,,,,,,,,2008.0,,,,,,
6411,Clark / Prince-Arthur,45.51330257,-73.57296109,,,359.0,,,,,,,726.0,735.8,669.0,,,,603.5,828.0,,798.5,746.5,497.3333333333333,738.2,,
6153,Cartier / Marie-Anne,45.532674,-73.571776,,,,,,,,,,,,,,,,,,1173.0,,,,,,
6089,Henri-Julien / du Carmel,45.52783941,-73.59482109999999,,,,,,,,,,,,,,1123.0,,,,,1433.0,,,,,
7062,William / Robert-Bourassa,45.49716534,-73.55933011,,,,,,,,,,,,,454.5,,496.0,,,,,,579.0,,1349.5,
6087,Notre-Dame / de la Montagne,45.49302901,-73.56481791,,,,,,,352.0,293.0,292.0,405.0,358.0,460.75,,,364.3333333333333,353.5,402.0,417.42857142857144,462.3636363636364,397.85714285714283,309.0,583.5,386.2857142857143,
6720,Ontario / Viau,45.5594818,-73.535496,,,,,,,,,,,,,,,,,,2359.0,,,,1691.0,,
6209,Milton / Clark,45.51254135,-73.57067719,,,,,,,734.0,,,,633.5,568.0,1062.0,546.25,453.0,1327.25,,574.8,539.3333333333334,512.5714285714286,663.6363636363636,432.6666666666667,508.0,
6070,Milton / University,45.5064484,-73.57634872,,,,,,,,,314.5,397.0,807.0,331.5,312.0,343.5,305.75,301.0,371.0,374.125,639.3333333333334,392.6,348.5,359.8333333333333,287.75,279.0
6062,Drummond / Ste-Catherine,45.4986393,-73.57422709,,,,,,,,,,,,,1705.5,,,178.0,,,,,,,,106.0
6031,St-Antoine / St-François-Xavier,45.50454229,-73.55916381,,,,,,,,,,,,540.0,827.5,,,,757.0,,722.0,,558.25,,,
6200,Maguire / St-Laurent,45.52462849,-73.59581083,,,,,,,,,,,,2135.0,,,,,,1704.0,1647.0,,,,,
6750,Frontenac / du Mont-Royal,45.53927089,-73.56837183,,,,,,,,,,,,,,,,,,,,,,,,
7029,Cartier / Masson,45.53802074,-73.58352363,,,,,,,,,,,,,,,,,,,,1676.0,,,,
6083,Square Phillips,45.50373772,-73.56810629,,,,,,,,,254.66666666666666,258.0,275.5,281.0,511.5,323.6,364.4,267.0,,260.0,410.0,248.0,502.0,,,
6407,Charlevoix / Lionel-Groulx,45.48392802,-73.57731164,792.0,,,,,,,,,536.0,,558.0,,,825.0,,694.0,772.1666666666666,916.5,,678.0,,701.0,
6250,Marché Jean-Talon (Henri-Julien / Jean-Talon),45.53678525,-73.61488796,,,,,,,,,,,,,,,,,,,,,,,,
6237,Gilford / de Lanaudière,45.532008000000005,-73.58044446,,,,,,,,,,2136.0,,,,,,1673.0,,,1864.0,1302.0,1542.5,,,
6155,Garnier / du Mont-Royal,45.53092,-73.57674,,1047.0,,,,,,,,,,,,,,,,1140.0,1620.5,1286.0,,,,
6729,St-André / Ste-Catherine,45.51642655,-73.55811238,,689.0,,608.5,,,,,818.0,799.0,630.0,806.0,863.5,1031.5,,,715.6875,823.1904761904761,850.9411764705883,787.3333333333334,798.8333333333334,833.0,631.0,
