,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
7030,de Bordeaux / Marie-Anne,45.53340913,-73.57065707,1627.0,1170.0,,,,,,105.0,,,,,,,311.0,81.0,192.0,,,91.0,,,,
6141,de Bordeaux / Rachel,45.532270000000004,-73.56828,170.0,,992.0,,,,,62.0,,71.0,,,2642.0,313.0,460.0,289.5,554.5,1220.5,660.5,493.0,1144.0,102.0,1256.6666666666667,1757.5
6100,Mackay / de Maisonneuve,45.496590000000005,-73.57851,,,,,,,,,1206.0,,1746.0,,,,,,,,1721.0,,,,,
6064,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,,,,,,,,905.0,1250.2727272727273,,,,,1106.0,1023.0,,1623.0,,,,,,,
6730,35e avenue / Beaubien,45.570081,-73.573047,,,,,,,,,,,,,,,,,,1326.0,1343.0,,,1693.5,,
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,,,,,,,,,,,,,,,,,1439.0,1188.0,1331.5,1122.5,1318.6,1165.5,,
6108,Logan / Fullum,45.52844869,-73.551085,,,,,,,,,,,,,,,,,,474.0,,450.0,,,,
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,584.0,,,,,,,364.0,432.0,523.0,504.0,,570.0,616.5,403.0,,,,551.5,,,,585.5,
6223,du Mont-Royal / du Parc,45.516999999999996,-73.589,,,,,,,,,748.0,,,,,1211.0,,,791.5,1115.0,,,,,,
6233,Bernard / Jeanne-Mance,45.52428648,-73.60497326,,,,,,,,,,1472.0,,,,,,,,,,,,,,
6043,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,,,,,,,,,1161.7777777777778,961.0,,,,,,,,,,,,,,
6041,St-Jacques / Gauvin,45.500674,-73.561082,,,,,,,,,,1816.0,,,,,,,,,,,,,,
6397,Marché Maisonneuve,45.55321884,-73.53978217,,,,,,,,,,,,,,,,,,,,,1710.0,,,
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.51167258,-73.56204182,,,,,,,,,,700.0,,,,,,,,,,768.0,,1310.0,893.0,
6073,de Maisonneuve / Aylmer,45.50501,-73.57069,,,,,,,1206.0,1163.0,1293.8,,,,,1364.0,,,1177.5,1771.0,1048.0,1216.0,,,,
6027,de Maisonneuve / Mansfield (ouest),45.50205386,-73.57346535,,,,,,,,882.6666666666666,1043.0,1270.0,,1271.5,,,,,,,,,,,,
6107,St-Mathieu /Ste-Catherine,45.493718,-73.57918599999999,,,,,,,,,,,,,,,,,,,,,,,,1574.0
6137,Gauthier / Papineau,45.529692600000004,-73.56740087,,,,,,,,,,,,,,,124.0,,,140.0,,,,173.5,1826.0,
6138,Gauthier / de Lorimier,45.53167355,-73.56541336,,,,,,,,,,,,543.0,,,,,,233.0,,,,,,
6095,Chomedey / de Maisonneuve,45.49180028,-73.58400643,,,,,,,,1864.0,2039.5,,,,,,,,,,,,,,,
6005,de la Cathédrale / René-Lévesque,45.49923715,-73.56944203,,,,,,,,,1332.0,,,,,,,,,,,,,,,
6072,Metcalfe / de Maisonneuve,45.50171495,-73.57413054,,,,,,,,977.0,927.0,,1505.0,,,,,,,,,,,,,
6012,Métro St-Laurent (de Maisonneuve / St-Laurent),45.510659999999994,-73.56497,,,,,,,1011.0,990.6923076923077,846.0,834.0,,,910.0,675.0,,,,880.3333333333334,820.6666666666666,969.0,770.0,826.0,882.6666666666666,
6710,Georges-Baril / Fleury,45.55837563,-73.65884408,,,,,,,,,,,,,,,,,,,,,,,,
7005,Marquette / Fleury,45.56735206,-73.65378745,,,,,,,,,,,,,,,,,,,,,,,,
6191,St-Zotique / Clark,45.531401,-73.612674,,,,,,,,,,,,,,,,,,,,,,,,
6262,de la Roche /  de Bellechasse,45.53715923,-73.59747648,,,,,,,,,1106.0,,,,,,,,,,,,,1644.0,,
6061,McGill College / Ste-Catherine,45.50192926,-73.57145101,,,,,,,,,,926.0,,,,,,,,1297.0,,,,,,
4000,Jeanne-d'Arc / Ontario,45.54945734,-73.54164898,,,,,,,,,1221.0,1127.0,,,964.0,999.0,,866.0,,,1058.0,,,1264.0,,
6700,de la Salle / Ste-Catherine,45.54996329,-73.53443384,,,,,,,,,1159.0,,,,,,,,,,1367.0,,,,,
