,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
7030,de Bordeaux / Marie-Anne,45.53340913,-73.57065707,,,,,,,,,,,,,,,,,1883.0,,1510.5,,,,,
6141,de Bordeaux / Rachel,45.532270000000004,-73.56828,,,,,,,,,,,,,,,,,,1513.0,1363.1666666666667,1545.25,,,,805.0
6100,Mackay / de Maisonneuve,45.496590000000005,-73.57851,,200.0,134.0,115.0,,,,249.75,212.69230769230768,223.9090909090909,190.73333333333332,261.38461538461536,244.06666666666666,216.57894736842104,211.1764705882353,208.93333333333334,223.57142857142858,247.93846153846152,326.9736842105263,218.97142857142856,232.41935483870967,222.0,226.0,177.5
6064,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,845.0,,,,,,172.5,,,,,391.0,1069.8333333333333,1032.142857142857,179.0,175.0,543.8,275.0,437.44444444444446,1648.5,97.75,129.0,88.0,1221.5
6730,35e avenue / Beaubien,45.570081,-73.573047,,,,,,,,,,,,,,,,,,,,,,,,
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,,,,,,,,,,,,,,,,,2248.0,2366.0,,,,,,
6108,Logan / Fullum,45.52844869,-73.551085,,,,,,,,,,,,,,,,,,1209.0,,,,,,1177.0
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,,,,,,,,,,1127.0,,,991.0,1436.5,1169.0,,1127.0,1069.0,1229.0,1158.125,1237.0,987.0,,801.0
6223,du Mont-Royal / du Parc,45.516999999999996,-73.589,,,,,,,,,,,788.0,800.25,,957.0,,,607.0,903.5,833.6666666666666,,,1004.0,,
6233,Bernard / Jeanne-Mance,45.52428648,-73.60497326,,,,,,,,,,,,,,1461.0,,,1476.0,1293.5882352941176,1382.0,,,,,
6043,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,,,,,,,,,458.2857142857143,556.75,421.2857142857143,389.0,698.3333333333334,392.22222222222223,366.5,444.6666666666667,503.75,408.875,384.0,425.0,,505.5,,
6041,St-Jacques / Gauvin,45.500674,-73.561082,,,,,,,,545.0,470.75,475.0,,,658.25,721.5,,,507.0,455.0,,,369.0,,,
6397,Marché Maisonneuve,45.55321884,-73.53978217,,,,,,,,,,,,,,,,,,,,,,,,
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.51167258,-73.56204182,,,,,,,,,,,,,555.0,898.0,615.3333333333334,482.0,,1119.75,597.95,575.0,627.0,637.25,,
6073,de Maisonneuve / Aylmer,45.50501,-73.57069,,312.0,,,,,,,256.625,370.3333333333333,242.4,202.33333333333334,249.4,288.5833333333333,275.2,250.84615384615384,232.78571428571428,312.0,276.54545454545456,226.25,256.5,,,
