,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
7030,de Bordeaux / Marie-Anne,45.53340913,-73.57065707,,,,,,,,,,,,,,,,,,,,,,,,
6141,de Bordeaux / Rachel,45.532270000000004,-73.56828,,,,,,,,,,,1219.0,1341.5,,,,,,,,1492.0,,1567.5,,
6100,Mackay / de Maisonneuve,45.496590000000005,-73.57851,508.8333333333333,176.33333333333334,148.0,545.0,,,,,218.0,201.5,187.33333333333334,211.33333333333334,187.75,232.57894736842104,237.92857142857142,332.8333333333333,221.93333333333334,297.2857142857143,218.73333333333332,218.3,189.6,712.0,196.0,251.0
6064,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,81.5,1031.0,,,,,,,,76.0,1077.5,131.0,117.0,3143.3333333333335,511.5,,749.5,292.5,701.7142857142857,313.2,491.8333333333333,735.8333333333334,650.5,285.0
6730,35e avenue / Beaubien,45.570081,-73.573047,,,,,,,,,,,,,,,,,,,,,,,,
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,,1728.0,1553.0,,,,,,,,,,,,,,,,,2217.0,,,,
6108,Logan / Fullum,45.52844869,-73.551085,,,1002.0,,,,,,,,,,,,,1080.0,,,1653.5,,,,,
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,906.5,,,1089.6666666666667,840.0,,,,946.0,,1624.0,,,1176.3333333333333,1189.0,1983.0,903.0,1245.0,1081.0,967.0,,,,
6223,du Mont-Royal / du Parc,45.516999999999996,-73.589,,,1434.0,,,,,,,,,,,819.0,,,,1013.0,769.0,,,,941.5,855.0
6233,Bernard / Jeanne-Mance,45.52428648,-73.60497326,,,,,,,,,,,,,,,,,,1251.0,1721.0,,,,,
6043,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,,,,423.2,,,,,,,,,,,,436.0,1944.0,,368.0,,326.0,,,
6041,St-Jacques / Gauvin,45.500674,-73.561082,,,,,,,,,,,,468.0,,,385.0,,,491.0,,,,,390.0,575.0
6397,Marché Maisonneuve,45.55321884,-73.53978217,,,2253.0,,,,,,,,,,,,,,2616.0,,,,,,,
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.51167258,-73.56204182,,,,,,,,,438.0,,,,,,798.75,587.0,,512.5,841.0,745.75,578.0,724.0,1134.0,
6073,de Maisonneuve / Aylmer,45.50501,-73.57069,224.0,308.0,,,,,,,211.0,195.0,219.5,233.0,192.0,304.25,249.8,303.14285714285717,335.0,2483.6363636363635,339.1666666666667,510.3333333333333,1269.5,,211.0,
6027,de Maisonneuve / Mansfield (ouest),45.50205386,-73.57346535,173.5,92.0,,,,,,,,,,,130.0,105.0,,283.0,209.5,,91.0,97.0,136.0,2042.0,,103.0
6107,St-Mathieu /Ste-Catherine,45.493718,-73.57918599999999,396.5,689.75,254.0,,,,,,240.0,,297.0,260.0,337.1666666666667,781.0,347.3333333333333,336.7142857142857,404.44444444444446,358.14285714285717,358.0,330.57142857142856,462.3333333333333,368.6666666666667,362.8,
6137,Gauthier / Papineau,45.529692600000004,-73.56740087,,,,,,,,,,,,,,,,,,,,,,,,
6138,Gauthier / de Lorimier,45.53167355,-73.56541336,,,,,,,,,,,1282.0,1271.0,,,,,,,1025.0,1674.0,,,,
6095,Chomedey / de Maisonneuve,45.49180028,-73.58400643,459.0,595.0,445.0,,245.0,,,,451.0,,400.625,477.5833333333333,422.4,399.1,464.09090909090907,458.46666666666664,664.1818181818181,501.73333333333335,478.8666666666667,910.2,485.0,405.5,435.6,
6005,de la Cathédrale / René-Lévesque,45.49923715,-73.56944203,,,,,,,,,,,,1246.0,,,1757.75,,,,,,,,,218.0
6072,Metcalfe / de Maisonneuve,45.50171495,-73.57413054,,,,,,,,,,,,,70.0,167.5,149.0,,,,,183.0,,,,
6012,Métro St-Laurent (de Maisonneuve / St-Laurent),45.510659999999994,-73.56497,456.6,472.0,754.2,,,,1972.0,,,414.0,,582.8333333333334,684.5,903.4285714285714,595.5555555555555,1058.9285714285713,449.0,713.5555555555555,901.75,847.9090909090909,860.0,582.2,597.75,716.6666666666666
6710,Georges-Baril / Fleury,45.55837563,-73.65884408,,,,,,,,,,,,,,,,,,,,,,,,
7005,Marquette / Fleury,45.56735206,-73.65378745,,,,,,,,,,,,,,,,,,,,,,,,
6191,St-Zotique / Clark,45.531401,-73.612674,,,,,,,,,,,,,,,,,,,,,,,,
6262,de la Roche /  de Bellechasse,45.53715923,-73.59747648,,,,,,,,,,,,,,,,,,,,,,,,
6061,McGill College / Ste-Catherine,45.50192926,-73.57145101,,,,,,,,,,501.0,,,396.0,227.0,401.0,,,,,1012.0,,,,
4000,Jeanne-d'Arc / Ontario,45.54945734,-73.54164898,,,,,,,,,,,,,,,,,,,,,,,,
6700,de la Salle / Ste-Catherine,45.54996329,-73.53443384,,,1678.0,,,,,,,,,,,,,,,,,,,,,
7083,Parc de Bullion (de Bullion / Prince-Arthur),45.51560426,-73.57213497,,,,835.0,,,,,,,,,1177.5,754.0,,1265.0,,799.5,,,,,,
7043,Ernest-Gendreau / du Mont-Royal,45.54971373,-73.56384829,,,,,,,,,,,2385.0,,,,,,,,2214.0,,,,,
6361,Molson / Beaubien,45.5496859,-73.59115452,,,,,,,,,,,,,,,,,,,,,,,,
6278,Louis-Hébert / St-Zotique,45.55001,-73.59576,,,,,,,,,,,,,,,,,,2595.0,,,,,,
6248,St-Dominique / Rachel,45.518593,-73.58156600000001,,,,,,,,,,,,,,,772.0,,,,,1530.0,,,,990.0
6184,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,1441.0,,,,,,,,,,,,,1026.0,,,,,1236.0,,,,,
7019,Casgrain / St-Viateur,45.52751293,-73.59879076,,,,,,,,,,,,,,,,,,,,,,,,
7026,Maguire / Henri-Julien,45.527041100000005,-73.59347057,,,,,,,,,,,,,,,,,,,,,,,,
6218,Prince-Arthur / St-Urbain,45.5125874,-73.57373893,,787.0,,,,,,,,,,,,469.0,704.0,566.0,734.0,535.0,643.0,680.0,607.0,,670.0,
6015,BAnQ (Berri / de Maisonneuve),45.515299,-73.561273,,678.0,,,553.0,,,563.0,,,,691.0,792.5,849.6,748.3333333333334,2413.8888888888887,910.0,758.5,922.1666666666666,1107.3333333333333,915.6666666666666,785.0,,541.0
6152,Chabot / du Mont-Royal,45.53418509,-73.57358873,,,,,,,,,,,,,,,,,,,,,,,,
6197,de Bordeaux / Masson,45.5389844,-73.58244538,,,1792.0,,,,,,,,,,,,,,,,,,,,,
6335,du Rosaire / St-Hubert,45.54467,-73.621581,,,,,,,,,,,,2459.0,,,,,,,,,2847.0,,,
6261,Louis Hémon / Rosemont,45.54459856,-73.58822286,,1867.0,,,,,,,,,,,,,,,,,,,,,,
6254,Boyer / Bélanger,45.54006,-73.60897,,,,,,,,,,,,,,,,,,,,,,,,
6280,Fairmount / St-Dominique,45.52450499,-73.5941425,,,,,,,,,,,,,,,,,1046.5,,,,1589.0,,,
6227,de l'Esplanade / Laurier,45.52111622,-73.59478354,,,,,,,,,,,,,,1620.25,,1437.0,,1204.0,1368.0,1670.0,,1410.0,,
6060,Stanley / du Docteur-Penfield,45.50252519,-73.58033717,,,,1841.5,,,,,,,,,,,,,,,,,,,,
6159,Ann / William,45.49589439,-73.56009722,,391.5,,,,,,,320.0,,,,491.5,,549.0,,727.6666666666666,588.0,377.6666666666667,388.0,,933.0,447.0,
6748,Young / Wellington,45.49282531,-73.55797827,,,,,,,,,,375.0,617.3333333333334,646.5,613.8,585.0,,836.6,399.0,,,553.6666666666666,445.0,,604.0,416.0
6129,de Bordeaux / Sherbrooke,45.52997069,-73.56305301,,,1343.0,,,,,,,,,,,2019.0,1226.5,,,,,,,1087.0,,
6106,Papineau / René-Lévesque,45.52114,-73.54926,,,,,,,,,,1226.0,,,,,,,,,1709.3333333333333,1205.0,,,,
6147,Calixa-Lavallée / Sherbrooke,45.52479,-73.56545,,,,,,,,,,,,1045.0,,,,,,,,,,,,
6154,Marquette / du Mont-Royal,45.53229,-73.57544,,,,,,,,,,,,,,,,,1497.0,1494.0,1309.0,1466.0,,1407.0,,
