,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
7030,de Bordeaux / Marie-Anne,45.53340913,-73.57065707,,,,,,,,,,,,,,,,,,,,,1510.0,,,
6141,de Bordeaux / Rachel,45.532270000000004,-73.56828,,,,,,,,,,,,,1902.0,,,,,1617.0,1432.0,1489.0,1480.0,,,
6100,Mackay / de Maisonneuve,45.496590000000005,-73.57851,458.0,128.0,189.0,,,,231.5,195.0,217.30769230769232,168.66666666666666,314.44444444444446,265.0,219.1875,216.72727272727272,297.0,226.4375,188.07692307692307,215.6769230769231,216.09259259259258,263.7142857142857,210.8,217.0,210.25,193.0
6064,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,1376.0,,,,,,,,2208.5,72.0,4004.0,1055.0,927.5,1447.5,483.5,864.6666666666666,2155.0,125.0,980.4,1439.0,166.5,529.6666666666666,96.33333333333333,119.0
6730,35e avenue / Beaubien,45.570081,-73.573047,,,,,,,,,,,,,,,,,,,,,,,,
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,,,,,,,,,,,,,,,,,2089.0,2335.5,2483.0,,,,2247.0,
6108,Logan / Fullum,45.52844869,-73.551085,,,,,,,,,,,,,,,,,,1296.0,1076.0,2538.0,,,,
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,,,,,,,,,,998.0,,1716.5,991.5,1068.0,1277.0,1240.0,793.5,1003.8125,1133.6666666666667,1120.75,799.5,,,
6223,du Mont-Royal / du Parc,45.516999999999996,-73.589,,,,,,,,,,,709.0,969.5,770.0,905.0,,1194.0,675.5,729.5,815.3333333333334,1165.5,,,,
6233,Bernard / Jeanne-Mance,45.52428648,-73.60497326,,,,,,,,,,,,,1503.0,,,,,1230.4545454545455,1360.6,,,1612.0,,1424.0
6043,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,,,,,,,,392.0,437.75,459.9,314.0,,453.6363636363636,431.6666666666667,520.3333333333334,432.0,401.3333333333333,445.1666666666667,516.0,,,,,
6041,St-Jacques / Gauvin,45.500674,-73.561082,561.0,,,,,,,,487.25,544.0,472.5,593.0,430.0,,,,665.0,648.5,500.0,487.6,494.0,362.0,,957.0
6397,Marché Maisonneuve,45.55321884,-73.53978217,,,,,,,,,,,,,,,,,,,,,,,,
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.51167258,-73.56204182,,,,,,,,614.0,630.0,,,,551.5,,,705.0,607.0,722.1666666666666,579.25,503.5,553.8,663.0,,
6073,de Maisonneuve / Aylmer,45.50501,-73.57069,,,,,,,,186.5,280.2857142857143,325.8333333333333,456.0,279.42857142857144,277.0,262.5,255.75,223.6,258.0,245.66666666666666,234.0,235.66666666666666,219.0,127.0,208.0,166.25
6027,de Maisonneuve / Mansfield (ouest),45.50205386,-73.57346535,,70.0,,,,,,,,144.0,107.0,88.0,117.5,1172.0,,153.0,93.0,130.66666666666666,115.66666666666667,,1893.6666666666667,132.5,98.0,104.0
6107,St-Mathieu /Ste-Catherine,45.493718,-73.57918599999999,,,331.5,,,,,,253.0,409.5,214.0,372.6,319.85714285714283,341.42857142857144,360.6,611.8333333333334,368.1666666666667,321.4,338.57142857142856,427.6,438.5,350.25,275.0,322.5
6137,Gauthier / Papineau,45.529692600000004,-73.56740087,,,,,,,,,,,,1330.0,,,,,,1258.1666666666667,1287.5,,752.0,,904.0,
6138,Gauthier / de Lorimier,45.53167355,-73.56541336,,,,,,,,,,1361.0,,,,,,1196.0,1343.6666666666667,1384.0,1322.0,1710.0,,2310.0,,
6095,Chomedey / de Maisonneuve,45.49180028,-73.58400643,,,,,,,,465.5,,,,433.85714285714283,441.625,433.6363636363636,409.625,404.0,413.2857142857143,451.7692307692308,495.24,559.75,533.3,507.7,555.25,354.5
6005,de la Cathédrale / René-Lévesque,45.49923715,-73.56944203,,,,,,,,,,187.33333333333334,186.0,,,,,359.3333333333333,198.0,202.83333333333334,472.0,2011.5,782.0,,,
6072,Metcalfe / de Maisonneuve,45.50171495,-73.57413054,,,,,,,,,267.0,,,236.0,390.0,69.0,,,1399.0,,,,112.0,143.0,165.0,
6012,Métro St-Laurent (de Maisonneuve / St-Laurent),45.510659999999994,-73.56497,,560.0,,,,,,547.0,450.55555555555554,522.0,,518.3333333333334,601.2,,753.6666666666666,667.5,592.7142857142857,699.7058823529412,784.0,511.0,475.25,817.8,901.5,
