,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
7030,de Bordeaux / Marie-Anne,45.53340913,-73.57065707,,,,,,,,,,,,,,,,,,,,,,,,
6141,de Bordeaux / Rachel,45.532270000000004,-73.56828,,,,,,,,,,,,,,,,,1702.5,1424.4285714285713,,,,,1441.0,
6100,Mackay / de Maisonneuve,45.496590000000005,-73.57851,838.625,200.0,4125.0,,75.0,90.0,,,,444.3333333333333,1010.0,2038.142857142857,1170.3333333333333,640.5,862.5,774.0,1151.6,890.25,1395.0,838.8,1726.4285714285713,844.4444444444445,1164.0,117.0
6064,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,179.0,2504.0,158.0,,1025.5,,197.41666666666666,,189.1,220.31034482758622,251.45454545454547,202.5,202.3846153846154,171.42857142857142,224.11111111111111,195.3,172.46666666666667,217.52,277.125,204.0,287.2,202.57142857142858,195.0,181.4
6730,35e avenue / Beaubien,45.570081,-73.573047,,,,,,,,,,,,,,,,,,,,,,,,
6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,,,,,,,,,,,,,,2601.0,,,,2080.0,,,,,,
6108,Logan / Fullum,45.52844869,-73.551085,,,,,,,,,,,,,,,,,,1230.0,1230.6666666666667,1504.0,,1068.0,,
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,,2351.5,,,,,,,,,,1359.0,1964.0,,1259.0,1700.0,1329.0,1106.0,,1479.0,1174.0,1169.0,1066.0,817.0
6223,du Mont-Royal / du Parc,45.516999999999996,-73.589,,915.0,,,,,,,,,,,,,,,,,1010.0,,1087.0,1102.5,,
6233,Bernard / Jeanne-Mance,45.52428648,-73.60497326,,,,,,,,,,,,,,,,,,1689.0,1333.0,,1661.0,1861.0,,1772.0
6043,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,,,,,,521.3333333333334,493.61538461538464,559.0,653.8461538461538,610.25,448.0,566.0,,578.6666666666666,599.0,,801.0,636.0,995.25,,601.0,,,570.0
6041,St-Jacques / Gauvin,45.500674,-73.561082,,,650.0,,,,,,,675.0,498.0,,528.5,721.0,818.0,,709.0,,668.0,587.0,1135.0,788.0,,
6397,Marché Maisonneuve,45.55321884,-73.53978217,,,,,,,,,,,,,,,,,,2152.8,,,,,,
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.51167258,-73.56204182,,,406.5,,,,,,816.0,,700.0,,,1054.5,1357.0,,717.0,802.5,611.0,522.5,1049.0,,,
6073,de Maisonneuve / Aylmer,45.50501,-73.57069,,,,,503.0,,350.0,368.3333333333333,390.55555555555554,390.8333333333333,499.6666666666667,453.5,404.625,440.2,393.4166666666667,399.0,438.3,414.1,404.6666666666667,406.3333333333333,408.8,382.6666666666667,316.0,325.0
6027,de Maisonneuve / Mansfield (ouest),45.50205386,-73.57346535,,,,,,,281.0,254.0,275.375,253.27272727272728,281.2307692307692,268.85714285714283,256.5833333333333,290.25,339.3333333333333,270.5,262.25,283.75,330.57142857142856,536.0,224.5,258.0,,
6107,St-Mathieu /Ste-Catherine,45.493718,-73.57918599999999,,,211.0,107.0,,,,,180.0,,149.0,165.0,195.33333333333334,943.6666666666666,158.0,181.66666666666666,147.0,176.5,199.0,249.0,,191.0,165.5,
6137,Gauthier / Papineau,45.529692600000004,-73.56740087,,,,,,,,,,,,,,,,,,1155.0,1610.0,,1504.0,,,
6138,Gauthier / de Lorimier,45.53167355,-73.56541336,,,,,,,,,,,,,,,1491.0,,1120.0,,,1598.0,1738.0,1707.0,,
6095,Chomedey / de Maisonneuve,45.49180028,-73.58400643,390.5,198.0,,181.0,,165.5,,332.3333333333333,,270.5,264.0,249.2,303.7857142857143,360.15384615384613,290.07142857142856,474.14285714285717,391.09090909090907,351.0416666666667,318.94444444444446,458.2,304.75,302.7,389.875,320.5
6005,de la Cathédrale / René-Lévesque,45.49923715,-73.56944203,,,,,,,300.0,352.0,331.1666666666667,336.0,478.75,,413.0,326.3333333333333,,689.0,444.0,403.6,,381.0,449.0,334.5,361.0,
6072,Metcalfe / de Maisonneuve,45.50171495,-73.57413054,,,,,,,,230.0,226.42857142857142,279.44444444444446,315.9230769230769,344.6,260.6,352.0,238.0,639.75,257.44444444444446,,309.25,255.0,,,209.0,
6012,Métro St-Laurent (de Maisonneuve / St-Laurent),45.510659999999994,-73.56497,,,,392.0,,,,,578.0,,,583.0,,1283.0,639.5,1022.0,695.375,943.1666666666666,760.0,646.5,778.0,679.3333333333334,,444.0
6710,Georges-Baril / Fleury,45.55837563,-73.65884408,,,,,,,,,,,,,,,,,,,,,,,,
7005,Marquette / Fleury,45.56735206,-73.65378745,,,,,,,,,,,,,,,,,,,,,,,,
6191,St-Zotique / Clark,45.531401,-73.612674,,,,,,,,,,,,,,,,,,,,,,,,
6262,de la Roche /  de Bellechasse,45.53715923,-73.59747648,,,,,,,,,,,,,,,,,,,,,,,,
6061,McGill College / Ste-Catherine,45.50192926,-73.57145101,,,,,,,327.0,355.0,366.5,338.3333333333333,326.2142857142857,320.0,392.0,394.75,460.1666666666667,325.1666666666667,376.9166666666667,435.7857142857143,361.0,345.0,520.3333333333334,276.5,264.0,
4000,Jeanne-d'Arc / Ontario,45.54945734,-73.54164898,,,,,,,,,,,,,,,,,,2437.3333333333335,,,,,,
6700,de la Salle / Ste-Catherine,45.54996329,-73.53443384,,,,,,,,,,,,,,,,,,,,,,,,
7083,Parc de Bullion (de Bullion / Prince-Arthur),45.51560426,-73.57213497,,,,,,,,,,,,,,,971.0,,,582.0,496.0,,801.0,,972.0,
7043,Ernest-Gendreau / du Mont-Royal,45.54971373,-73.56384829,,,,,,,,,,,,,,,,,,,,,,,,
6361,Molson / Beaubien,45.5496859,-73.59115452,,,,,,,,,,,,,,,,,,,,,,,,
6278,Louis-Hébert / St-Zotique,45.55001,-73.59576,,,,,,,,,,,,,,,,,,,,,,,,
